month,year,arrests_rate,arrests_count,coverage_pct,population,participated_population,violent_offense_rate,violent_clearance_rate,violent_offense_count,violent_clearance_count,property_offense_rate,property_clearance_rate,property_offense_count,property_clearance_count,hate_offense_rate,hate_incident_rate,hate_offense_count,hate_incident_count
2020-01-01,2020,239.71,771007,96.67,332726731,321635302,29.02,12.49,93336,40158,162.86,27.27,523816,87699,0.21,0.19,684,598
2020-02-01,2020,232.02,743918,96.36,332726731,320620268,25.95,11.38,83214,36485,145.91,25.08,467810,80405,0.23,0.19,722,616
2020-03-01,2020,190.64,610549,96.26,332726731,320266242,28.12,12.39,90067,39697,143.44,23.2,459403,74308,0.22,0.19,703,620
2020-04-01,2020,132.35,423343,96.13,332726731,319862317,26.11,11.73,83516,37520,133.54,19.22,427132,61466,0.19,0.16,595,497
2020-05-01,2020,187.36,598991,96.08,332726731,319698568,31.84,13.35,101803,42693,142.94,20.9,456989,66815,0.28,0.23,907,743
2020-06-01,2020,173.07,552986,96.03,332726731,319522383,33.93,12.74,108399,40712,149.08,19.63,476356,62719,0.82,0.45,2628,1444
2020-07-01,2020,189.41,604471,95.91,332726731,319129961,35.3,13.9,112649,44361,156.12,20.52,498222,65482,0.44,0.35,1389,1124
2020-08-01,2020,202.41,643897,95.61,332726731,318119301,35.5,13.94,112945,44338,160.75,21.04,511369,66937,0.4,0.33,1281,1048
2020-09-01,2020,193.1,613375,95.47,332726731,317639775,32.38,12.95,102864,41144,156.81,20.61,498087,65467,0.34,0.3,1087,948
2020-10-01,2020,193.19,611706,95.16,332726731,316628568,33.38,12.87,105687,40753,163.25,20.85,516908,66007,0.38,0.3,1209,958
2020-11-01,2020,166.99,530445,95.47,332726731,317643723,30.3,11.24,96238,35710,153.85,18.69,488700,59367,0.31,0.24,999,751
2020-12-01,2020,319.05,1012879,95.41,332726731,317467290,57.29,25.09,181877,79660,286.2,44.6,908586,141606,0.23,0.19,718,618
2021-01-01,2021,159.98,399335,74.42,335395039,249609413,28.47,10.81,71063,26974,145,19.2,361928,47926,0.34,0.29,847,733
2021-02-01,2021,147.49,366607,74.11,335395039,248560346,24.35,10.1,60529,25100,124.53,17.65,309540,43878,0.3,0.25,739,632
2021-03-01,2021,182.14,460124,75.32,335395039,252625102,27.71,11.55,70005,29168,134.65,19.24,340152,48614,0.43,0.37,1076,925
2021-04-01,2021,172.52,437712,75.65,335395039,253716740,29.13,11.52,73904,29228,129.56,17.76,328720,45054,0.48,0.4,1213,1026
2021-05-01,2021,180.31,458299,75.78,335395039,254175467,33.01,12.56,83912,31921,145.02,18.55,368601,47145,0.5,0.43,1280,1088
2021-06-01,2021,172.79,446212,77,335395039,258245663,31.7,12.52,81854,32342,144.51,18.68,373194,48235,0.53,0.44,1369,1127
2021-07-01,2021,181.19,467625,76.95,335395039,258082170,33.79,12.78,87208,32988,155.58,19.4,401532,50070,0.43,0.38,1120,968
2021-08-01,2021,175.17,454197,77.31,335395039,259289682,32.51,12.52,84298,32470,156.55,19.07,405907,49450,0.45,0.37,1162,960
2021-09-01,2021,170.63,445652,77.87,335395039,261176182,31.02,11.83,81009,30909,156.17,18.89,407877,49328,0.44,0.37,1158,968
2021-10-01,2021,172.75,454429,78.43,335395039,263049291,32.27,11.95,84890,31424,161.96,19.22,426023,50569,0.44,0.39,1161,1014
2021-11-01,2021,159.53,423325,79.12,335395039,265350196,28.47,10.72,75542,28450,152.7,18.4,405187,48831,0.36,0.31,954,825
2021-12-01,2021,160.94,426823,79.07,335395039,265201908,29.43,10.96,78041,29057,161.21,19.6,427544,51967,0.36,0.3,962,798
2022-01-01,2022,160.11,504413,93.56,336746447,315044630,30.5,11.21,96084,35314,155.76,17.91,490714,56417,0.28,0.23,882,740
2022-02-01,2022,158.89,502115,93.84,336746447,316013499,28.11,10.71,88846,33837,143.88,17.37,454695,54897,0.34,0.29,1078,931
2022-03-01,2022,188.87,604202,95,336746447,319908582,32.23,12.61,103121,40333,160.14,20.08,512290,64236,0.35,0.3,1107,970
2022-04-01,2022,183.07,585948,95.05,336746447,320066270,32.44,12.16,103819,38927,158.28,19.48,506598,62357,0.33,0.29,1057,919
2022-05-01,2022,189.82,609113,95.29,336746447,320896446,35.41,13.17,113640,42256,167.06,20.14,536092,64628,0.45,0.37,1428,1191
2022-06-01,2022,181.89,583198,95.21,336746447,320632362,34.39,13.04,110252,41808,166.44,20.11,533672,64489,0.44,0.37,1406,1198
2022-07-01,2022,187.75,602716,95.33,336746447,321028518,35.96,13.36,115442,42904,175.26,20.73,562629,66553,0.41,0.34,1305,1089
2022-08-01,2022,190.04,608421,95.07,336746447,320161028,34.45,13.56,110303,43413,175.49,21.52,561836,68889,0.37,0.32,1194,1020
2022-09-01,2022,182.11,580086,94.59,336746447,318537865,33.6,12.8,107023,40765,166.52,20.24,530442,64482,0.38,0.32,1222,1030
2022-10-01,2022,179.61,571948,94.56,336746447,318438766,33.42,12.38,106438,39427,169.85,20.29,540880,64610,0.38,0.33,1225,1044
2022-11-01,2022,164.79,524559,94.53,336746447,318322247,29.52,11.26,93979,35837,158.09,19.74,503225,62847,0.33,0.29,1058,917
2022-12-01,2022,163.18,521315,94.87,336746447,319468360,38.13,11.72,121817,37455,202.2,27.78,645972,88760,0.31,0.27,986,869
2023-01-01,2023,179.89,580672,95.4,338357687,322794880,31.6,12.85,102008,41473,161.6,21.86,521646,70568,0.31,0.26,1002,839
2023-02-01,2023,166.93,536209,94.94,338357687,321222466,27.17,11.61,87281,37303,142.07,19.75,456369,63428,0.3,0.26,979,824
2023-03-01,2023,188.41,610414,95.75,338357687,323980525,30.42,13.17,98559,42672,154.21,21.59,499625,69935,0.33,0.28,1084,923
2023-04-01,2023,183.63,595376,95.82,338357687,324225449,31.66,12.99,102657,42105,153.47,21.01,497585,68128,0.34,0.29,1102,953
2023-05-01,2023,195.38,632657,95.7,338357687,323810861,34.54,14.18,111840,45923,166.19,22.9,538139,74161,0.37,0.31,1189,1003
2023-06-01,2023,186.25,602938,95.67,338357687,323716482,33.2,13.71,107481,44370,166.18,22.69,537938,73438,0.4,0.33,1299,1083
2023-07-01,2023,192.51,624135,95.82,338357687,324208090,35.02,14.26,113531,46229,171.68,22.78,556593,73865,0.34,0.29,1093,925
2023-08-01,2023,197.07,639882,95.96,338357687,324704496,33.55,14.32,108932,46508,172.92,23.89,561481,77576,0.36,0.3,1163,966
2023-09-01,2023,188.73,613740,96.11,338357687,325202123,32.31,13.48,105077,43839,160.66,22.3,522465,72506,0.35,0.3,1135,986
2023-10-01,2023,186.41,605350,95.97,338357687,324736777,33.5,13.66,108785,44373,167.06,23.15,542497,75161,0.48,0.41,1555,1328
2023-11-01,2023,174.88,568095,96.01,338357687,324847690,29.1,12.38,94527,40230,155.97,22.83,506680,74176,0.46,0.39,1494,1274
2023-12-01,2023,175.29,569154,95.96,338357687,324698583,33.97,12.7,110287,41235,181.67,27.79,589884,90223,0.38,0.33,1221,1060
2024-01-01,2024,167.8,555554,96.37,343551384,331080538,27.79,12.48,92001,41319,146.42,22.74,484772,75294,0.29,0.25,966,822
2024-02-01,2024,172.62,571169,96.31,343551384,330875128,26.63,12.38,88104,40968,138.61,22.42,458640,74183,0.31,0.26,1021,876
2024-03-01,2024,184.38,606666,95.77,343551384,329025582,29.37,13.46,96624,44299,143.37,23.03,471712,75784,0.34,0.29,1111,963
2024-04-01,2024,180.03,595409,96.27,343551384,330722953,29.94,13.41,99002,44349,142.72,22.85,471993,75579,0.36,0.31,1193,1016
2024-05-01,2024,189.85,627253,96.17,343551384,330397847,33.13,14.43,109467,47672,149.86,23.68,495142,78223,0.4,0.34,1307,1117
2024-06-01,2024,180.45,594476,95.89,343551384,329445412,32.71,13.82,107764,45513,147.47,22.66,485836,74657,0.42,0.35,1375,1165
2024-07-01,2024,188.25,619942,95.86,343551384,329323405,33.05,14.53,108840,47842,154.99,24.53,510411,80770,0.37,0.31,1225,1027
2024-08-01,2024,190.67,630528,96.26,343551384,330687459,31.89,13.96,105443,46162,152.35,24.26,503795,80216,0.34,0.29,1127,958
2024-09-01,2024,180.42,593729,95.79,343551384,329084219,31.38,13.46,103261,44290,147.86,22.75,486580,74876,0.38,0.33,1240,1072
2024-10-01,2024,180.68,597277,96.22,343551384,330566188,30.52,13.55,100888,44796,150.29,23.59,496810,77969,0.4,0.34,1316,1133
2024-11-01,2024,168.37,555473,96.03,343551384,329908021,27.53,12.21,90813,40297,138.91,22.74,458278,75035,0.34,0.29,1113,953
2024-12-01,2024,165.04,545012,96.12,343551384,330226676,30.24,12.12,99852,40010,158.18,26.44,522346,87325,0.29,0.25,957,830
2025-01-01,2025,169.29,564677,96.63,345206793,333560611,25.41,12,84758,40041,128.29,22.33,427935,74478,0.28,0.24,935,792
2025-02-01,2025,161.83,537842,96.27,345206793,332345509,23.18,11.22,77031,37297,115.61,20.62,384224,68514,0.27,0.23,903,777
2025-03-01,2025,188.04,625645,96.38,345206793,332726657,27.47,12.89,91389,42898,128.69,22.67,428199,75421,0.33,0.28,1085,941
2025-04-01,2025,183.78,609702,96.1,345206793,331755186,27.88,13.24,92495,43918,127.5,22.7,422989,75298,0.33,0.28,1105,929
2025-05-01,2025,190.62,633007,96.2,345206793,332085494,29.89,13.96,99261,46347,134.33,23.06,446090,76582,0.36,0.3,1209,983
2025-06-01,2025,181.4,601575,96.06,345206793,331620341,29.09,13.44,96471,44575,130.08,22.02,431386,73029,0.39,0.32,1277,1045
2025-07-01,2025,192.51,635807,95.67,345206793,330266294,30.11,14.58,99432,48139,136.91,23.37,452176,77195,0.36,0.28,1174,941
2025-08-01,2025,193.95,640162,95.61,345206793,330068689,29.21,13.86,96405,45764,134.2,22.95,442953,75752,0.33,0.28,1099,929
2025-09-01,2025,181.77,600940,95.77,345206793,330613476,27.63,13.16,91357,43525,129.14,21.97,426950,72641,0.38,0.31,1243,1014
2025-10-01,2025,181.91,599272,95.43,345206793,329429197,26.78,13.05,88223,42985,130.76,22.5,430747,74123,0.36,0.3,1183,987
